zip,ocd
35961,ocd-division/country:us/state:al
35961,ocd-division/country:us/state:al/cd:4
35962,ocd-division/country:us/state:al/cd:4
35962,ocd-division/country:us/state:al
35963,ocd-division/country:us/state:al/cd:4
35963,ocd-division/country:us/state:al
35966,ocd-division/country:us/state:al/cd:4
35966,ocd-division/country:us/state:al
35966,ocd-division/country:us/state:al/cd:5
35967,ocd-division/country:us/state:al/cd:3
35967,ocd-division/country:us/state:al
35967,ocd-division/country:us/state:al/cd:4
35968,ocd-division/country:us/state:al/cd:4
35968,ocd-division/country:us/state:al
35971,ocd-division/country:us/state:al/cd:4
35971,ocd-division/country:us/state:al
35972,ocd-division/country:us/state:al/cd:3
35972,ocd-division/country:us/state:al
35972,ocd-division/country:us/state:al/cd:4
35973,ocd-division/country:us/state:al/cd:3
